"Country","Year","Electricity","No_Electricity","Clean_Fuels","No_Clean_Fuels","Electricity_Access_Rate","Clean_Fuels_Access_Rate"
"Afghanistan",2019,37166796.59,874960.411,6814987.6495,23285536.35,0.977000000000605,0.226407608372971
"Albania",2019,2854191,562.28037,1767111.26452941,1196139.67675294,0.999803037140244,0.596342091690922
"Algeria",2019,42837788.73,215265.27,34709156.21,2783123.23533333,0.995,0.925768097418794
"Angola",2019,14534714.24,17290584.76,9748458.88775,12652342.299375,0.456703148020699,0.435183492157994
"Antigua and Barbuda",2019,97115,1043.38288757055,83681.8585235294,1692.72971176471,0.989370414865477,0.980172909213928
"Argentina",2019,44938712,713465.5823865,38962911.1617647,1167444.72072353,0.984371707546722,0.970908687574511
"Armenia",2019,2957728,15378.766854,2694357.85029412,255676.855641176,0.9948273748439,0.913330899081706
"Azerbaijan",2019,10024283,37403.8278742857,7741307.91864706,1077687.61077059,0.996282548988638,0.877799279161019
"Bangladesh",2019,150328571.5,12717601.49,17384559.0952353,126392806.188235,0.922000000019749,0.120913045394593
"Belize",2019,361933.4472,28417.5528,253620.342058824,53759.2461764706,0.9272,0.825104697143004
"Benin",2019,4758075.488,7043075.512,378090.694758824,8382672.30505882,0.403187408414654,0.0431572791966514
"Bhutan",2019,763094,174492.006542525,290648.131576471,378325.515482353,0.813892266602839,0.434468731099229
"Bolivia",2019,11087474.2,425627.8004,7027358.03917647,2696071.72564706,0.963031005858785,0.722724204230832
"Bosnia and Herzegovina",2019,3300998,7602.842916,1857991.78976471,1811899.68082353,0.99770209726801,0.506279764580312
"Botswana",2019,1616812.064,686890.9362,1059411.12546471,845060.345147059,0.701831817669046,0.556275660629558
"Brazil",2019,210627420,422099.038,176763513.682353,14685388.776,0.99800000000036,0.92329342927837
"Burkina Faso",2019,3734897.931,16586485.07,850402.299458824,14004830.7011765,0.183791522989169,0.0572459751673
"Burundi",2019,1275834.984,10254742.02,59448.7568411765,8171182.12558824,0.110647973952857,0.00722286756512025
"Cambodia",2019,15332484.06,1154057.94,1450948.84604118,12475645.9188235,0.93,0.104185471792556
"Cameroon",2019,16419165.94,9457221.065,3229001.46411765,16200856.5952941,0.634523124763414,0.166187599221989
"Cape Verde",2019,525373.322,24562.67796,321950.605633333,165177.594366667,0.955335388187377,0.660915556999848
"Central African Republic",2019,678560.597,4066618.403,31169.4039941176,4154469.94905882,0.143,0.00744674860039797
"Chad",2019,1339538.088,14607343.91,359430.568117647,10930664.0787647,0.084000000010535,0.0318359216073446
"Chile",2019,18952035,322044.714816667,15032519.9535294,1689523.45864706,0.983291305235751,0.898964294195242
"China",2019,1397715000,12607778.9373845,705861233.235294,617196119.705882,0.991060359283934,0.533507660621177
"Colombia",2019,50221786.38,117656.619,38253349.5952941,5807377.40476471,0.997662734984923,0.868196060297486
